"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0054",196468.3664,183804.8656,239111.8508,301041.7466,169307.3942,251264.6926,321809.0844,197882.6213,314516.7244,217487.3939,235111.9158,69522.06714,302405.7492,176382.4484,220971.0957,224479.0055,272549.4877,247032.5322,289117.6413,269603.6104,294602.0221,200334.224,75745.45522,48621234.24,237254.6293,224134.0951,288349.9709,219115.2208,212528.504,253609.6546
"Feature0055",389754475.2,116388.9867,111728.9067,346537108.5,113156.7877,64644953.67,101448.2865,113995.4845,107405.6565,501475510.5,77869126.07,110126.8531,123359.9384,117108.7156,110537.6974,123705.5711,56646416.65,47767059.42,937982399.9,473113969,488185815.9,108043.8519,619219002.2,106555.5963,110543.7032,120237.2466,96295998.58,624899771.4,929422942.3,52264883.78
"Feature0056",175272176.2,182190956,165391848.3,181927854,174269768.9,182029688.1,173642308.3,184920998,180444579.5,180989156,186579274.2,168879155,177723662.5,180667799.4,191839352.2,170042987.1,174951467.9,176556386.3,174726662.2,176504907.9,197821865.1,185963252.1,172677284.7,172894779.7,195686198.3,186597808,3152088.208,565360.1076,178295164.6,176060337.9
"Feature0057",1939735.451,2186775.85,2119211.142,1733521.044,1718251.685,2641173.593,3285278.638,2768659.403,2864823.575,1650819.487,4363870.655,2701111.22,17856010.5,9333346.144,3010336.152,11166842.08,5352943.951,4069157.93,8544900.738,3437132.99,5526368.096,2912383.695,1661900.749,6021539.5,1439702.649,3067363.37,256963715.3,250069102.1,3516090.731,1948518.153
"Feature0058",62434821.05,56215000.64,47465104.73,80218257.76,50925025.39,44980728.87,33000441.93,53803292.81,41517168.16,64696580.5,35850761.19,44043185.96,54581751.28,54821366.63,47095178.26,56851447.48,25252683.03,41363428.4,76200921.39,69542800.8,61622105.33,30723874.33,67075289.21,54482378.97,35038733.95,59422064.52,47967005.21,74593470.47,74881702.47,25038795.06
"Feature0059",91123558.37,80430817.29,68922593.88,112047025.5,69118287.63,62318674.61,46945300.71,81985723.99,61748506.08,96288687.27,49305495.82,55766310.1,84951640.63,82540512.66,65141269.31,78605038.48,38002492.91,55039532.75,100106038,96178755.71,78919591.46,45063525.82,96118185.55,76757934.64,54052534.55,85492292.13,66652246.11,107332854.3,111588099.9,32433667.59
"Feature0060",32493208.66,37031668.4,32767335.08,39961557.61,35208616.13,1093164.586,22342063.45,35081555.84,25431235.57,20737560.61,590758.5441,24778900.36,37796386.49,35780394.59,31163641.23,37730835.66,5250839.772,5181264.083,25951864.82,25789763.2,16052188.76,18759062.53,23039445.15,33013113.17,21106264.16,34706151.25,1813264.502,33233406.3,17899742.48,1735298.385
"Feature0061",106728.6247,182279.3807,193618.8652,70607.67838,198408.449,55004.23418,174819.632,360607.7432,174707.5218,63187.92509,44753.39397,179633.681,200775.9578,208606.6082,196843.3139,206513.4791,42169.21415,67916.1827,280794.9856,68545.32766,98992.93618,170604.5725,68945.27327,7539143.705,136331.2976,164796.7878,40364.95514,223886.886,249115.835,41728.48013
"Feature0062",35025153.89,1277548008,852061504.2,25767675.3,1049730560,51299388.39,838946068.2,905715897.3,883684445.5,59175190.01,52704354.17,941466615.3,1325051075,978929814.4,789104165.2,1249718157,48988138.83,58478689.41,46258172.18,59920325.71,38874445.34,767560184.3,42407096.26,1016013643,1021200180,1148333873,55766744.16,12557157.44,44011863.75,46873720.17
"Feature0063",18691186.3,8475343.402,10416775.31,37745435.52,2086687.919,7858535.058,11818375.45,1706581.717,6490037.105,15666975.12,5385045.331,12912982.08,1762886.811,6549206.23,4490937.714,5906024.653,4274071.95,7072247.527,17883967.92,20250925.41,10122699.13,5118958.418,19124778.08,13688790.59,1795559.713,1803184.952,9066461.982,23157956.17,14906710.89,3491973.701
