"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0086",NA,57985326.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,37122837.96,NA,NA,48345471.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,33404756.05,NA,NA,NA,NA,NA
"Feature0088",NA,NA,NA,NA,NA,5363114.697,NA,NA,NA,NA,NA,NA,3702176.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,4061469.13,NA,NA,NA,NA,NA,NA,NA
"Feature0089",NA,NA,NA,NA,NA,NA,NA,110989713.5,96655830.79,NA,NA,67079028.96,NA,NA,93209775.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,98110712.31,132222549.4,NA,NA,NA,NA
"Feature0090",NA,91472249.34,79605210.16,NA,86930432.51,47162862.49,49669312.66,NA,NA,NA,29968322.04,60442350.44,93883871.19,NA,80293091.57,NA,NA,34788796.54,111365170.9,101226116.1,85724553.06,NA,94891127.87,NA,55334985.08,NA,52410477.28,NA,NA,24048264.37
"Feature0092",NA,NA,NA,NA,4771707.823,147362835.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4582213.136,89061977.94,105149672.6,173109925.9,178613643.4,164320708.3,NA,135128540.6,NA,NA,NA,130035658.1,NA,NA,116028449.6
"Feature0093",NA,NA,NA,NA,NA,706077.7121,NA,NA,NA,NA,NA,NA,540646.0523,NA,NA,NA,NA,NA,NA,NA,3374806.562,NA,9571503.056,NA,NA,NA,NA,NA,NA,NA
"Feature0094",NA,NA,NA,NA,NA,65295638.77,599013.4583,NA,NA,NA,NA,NA,NA,NA,NA,508773.3148,43921008.84,NA,NA,NA,3757693.735,NA,6865119.045,NA,NA,NA,NA,NA,NA,NA
"Feature0095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2537216.379,457130433.1,467791513,NA,NA
"Feature0097",NA,NA,NA,NA,NA,12403666.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5807987.37,54190843.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0099",NA,314632.4404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1334991.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51403571.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0102",NA,161048607.5,NA,NA,NA,NA,NA,NA,NA,NA,1723222.064,65100572.78,NA,NA,76655662.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,61476830.9,NA,NA,NA,NA,NA
"Feature0103",NA,NA,NA,NA,653519.9344,705639394.1,925674.7298,NA,NA,NA,NA,NA,NA,NA,NA,625628.3388,204982355.1,363227696.1,269508008.9,170494704.9,368485398.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369853.1397,61029879.35,NA,NA,71111535.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,58605389.68,NA,NA,NA,NA,NA
"Feature0106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10835502.44,NA,NA,NA,NA
"Feature0107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3612243.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0108",NA,NA,NA,NA,NA,NA,NA,NA,305250811.3,NA,1233599.249,NA,NA,NA,280820021.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0109",NA,NA,NA,NA,NA,NA,NA,513802923.3,39159952.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13273620.33,NA,NA,NA,NA,NA
"Feature0110",132210361.6,133929544.8,105601915.6,170715178.9,100299326.7,94901758.22,73493609.77,119800097.2,89645687.24,139640903.9,72762668.38,82500486.54,122254167.8,118446762.5,99682009.8,113561894,57122162.64,80777949.91,152465056.1,140297637.4,122864993.5,65973169.52,142249858.2,117666119.6,77306092.45,127096802.4,97374644.38,164116057,151761097.8,54757575.33
"Feature0111",NA,NA,NA,NA,NA,NA,NA,128348.4468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
