"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0088",2424404.19036452,1653305.97034171,5539502.88358364,5207559.4080187,19103139.3871615,771656347.656817,5031481.66244123,10596193.0642696,5080779.49646422,3093357.26403892,159756413.51803,215119139.131262
"Feature0089",142650312.251904,53585225.8092457,54032284.534146,36299537.099528,33171529.3604265,34173044.7691541,22907472.4133061,2527689.77347582,8964561.88737263,116613763.978421,114006196.297709,149482920.855586
"Feature0090",267611811.462038,128096507.387836,134306790.45972,81542386.4575842,67473316.249714,124757160.285506,28185921.0479058,2781496.79654651,22498036.0622552,15622576.3879512,9205065.35184204,8571330.93462128
"Feature0091",382874747.804858,143828878.147957,142243100.510963,20248774.746162,32619077.1285504,24633346.6544992,6422932.8417399,6302482.69338423,20348428.3939708,478386.629079152,517762.359790003,656430.856438278
"Feature0092",294143063.042929,109249372.740422,115606416.377781,666811487.446853,764019473.149031,921193675.492542,510626350.771999,432263770.632277,312495889.316799,90878039.1576075,131971315.965839,153974093.684802
"Feature0093",397002497.633635,155138128.239662,141731136.930639,781091068.951591,1058143027.99073,231493930.638614,610573869.538857,12414956456.4165,379161583.759169,134421130.128884,46984307.3716064,64894642.9423593
"Feature0094",330471119.796151,142248261.572553,154801880.820545,16883170.8771826,4248966.93110412,17901893.950205,4502156.39270841,4954319.66420934,1138126.5105709,1239323.15246975,1170038.50469234,1890895.4463212
"Feature0095",394866412.825526,128131168.240489,157075009.839089,4472723.15644204,6132945.1759443,14352993.7118216,2295782.70133391,5281465.67376403,1710670.39655584,29489831.5705067,35459835.2259184,40433018.9238415
"Feature0096",14287640.3595983,141284957.066368,161696678.636076,602022037.716223,726194288.280933,5227579.82666917,272656903.875107,235831696.435511,183633.932130188,41819113.7689585,634147.858208208,330688.613024126
"Feature0097",4625737.283417,2358757.45484609,461332.356774778,442906965.889937,259722264.07832,524012455.492378,328010680.855626,356929672.628271,434534256.071459,41222113.7913411,33804103.9952218,56737938.9054867
"Feature0098",665966.197169169,67664.9684872424,256429.880599729,28966633.6048598,1185826103.37336,102661174.273868,58504111.4172,5248805.75694572,166079204.510824,230190.155180762,167999.538295176,144896.536225587
"Feature0099",13846355.4696802,1104203.67170355,973027.509170285,2020057.33053183,2661499.67380934,1075519791.62895,235609.989491288,7610999.28301464,4691021.3490723,286203.715408875,32088949.0986673,16833789.7308254
"Feature0100",12198476.6534969,89046431.4735037,94965399.2212568,403467114.876693,498224314.595554,25498768.3306728,235688365.727978,137486381.76094,459802161.091045,43411539.9576653,2517572.02295033,54396.8460485198
"Feature0101",426276381.45448,170451535.660858,180109178.27795,98020347.3167006,49506297.4132895,135897971.827858,22445433.0120438,78636873.1628115,26480359.8994275,22567092.119934,11715839.342717,7194301.57937117
"Feature0102",449606331.945587,157995365.808141,180703923.57977,162695386.62986,41924068.6951441,3330018.41083248,2547919.15987185,13663363.812013,7431439.54944259,22592100.5829181,1445961.99762157,10359633.2338839
"Feature0103",527002858.566742,2489988.93847763,14326920.3385933,19292337.7090012,2011874.73424263,4442183.25952845,5178330.55486968,2134280.85802853,21855989.1151592,3075206.9643379,2158505.39057777,638458.788468755
"Feature0104",429748000.440117,156174863.254471,164648152.029476,298549311.988934,2566938.64289531,295798665.528418,415546878.22177,197290286.530088,24402490.9166191,161142580.311602,185341689.380034,237165231.0712
"Feature0105",4791648.26777809,180797.827532151,121456.470886519,5936591.12790849,3235834.54075073,1225046066.33632,447320.941327547,2091982.59329567,1736291.03072395,181032.990728806,50064434.6085384,54904544.643247
"Feature0106",858160.871513999,525108.15908457,510887.821059074,956810.493315571,2121855.09886004,2631967.5267429,1136071.70714262,11857301.3494953,314384.010239981,179133810.35159,100278507.885135,134396384.508594
"Feature0107",569242628.439268,153339800.181833,212228102.867385,14308010.1048069,6646477.20379362,9976189.55681294,20998796.0637479,17116599.0559695,10412963.5924179,23088707.1110323,23056255.4518823,36648226.8984803
"Feature0108",179942.30986326,2775949.21653658,2910148.28773881,270387.509684556,350434.541822696,375692.588440449,2120050.71877412,26471076.0031444,339298.036734062,187684817.109288,3264674.31642195,4629309.14087714
"Feature0109",4793647.52707566,191703278.555734,221192166.93309,725580921.57542,743401168.997198,3271393.70921995,383002355.543867,254804323.115501,21489180.7819773,73035482.8298317,1188133.86482536,599441.769892011
"Feature0110",483808608.499152,184004915.01156,190099149.123775,673324068.064794,666627682.590922,1056451409.14047,294730422.047115,206860604.966038,597872878.057365,59973471.0853383,37884877.2255858,25104063.9410867
"Feature0111",536222687.447259,188770988.026961,202283725.439751,616118166.860781,206833826.174309,599967679.481006,124152584.981693,6081883.22546027,49516802.2555254,204938726.683398,244206653.692875,235182033.032242
"Feature0112",606354371.604982,8861767.81661983,6309936.84619075,1283550.59162823,3498869.00401608,29394900.1752978,957393.522307501,7880569.31758877,19515421.0872264,6810826.34547062,285990258.577629,360514571.247957
