FeatureID,Name,Class,BiogeochemicalClass,FIShScore,1246,1154,1177
Feature0173,[Similar to: Valylproline; ΔMass: 243.0478 Da],Carbohydrate,Amino acids & derivatives,,-0.192651124,-0.336897149,0
Feature0174,Acetyl-L-carnitine,Protein,Amino acids & derivatives,,0.340914673,0,0
Feature0175,Adenine,Unsaturated HC,Amino acids & derivatives,73.33,-0.477333653,-0.190651445,0
Feature0175,Adenine,Unsaturated HC,Amino acids & derivatives,74.33,-0.477333653,-0.190651445,0
Feature0177,Agmatine,Other,Amino acids & derivatives,30.77,-0.315322757,-0.3057688,0
Feature0177,Agmatine,Other,Amino acids & derivatives,31.77,-0.315322757,-0.3057688,0
Feature0179,AMIDINOPROLINE,Protein,Carboxylic acids,67.67,0,0,0.06123742
Feature0180,Anhydroecgonine,Phenol,Carboxylic acids,66.67,-0.24432379,0,0
Feature0182,arg-val,Lipid,Amino acids & derivatives,78.35,0.14286815,0.178766968,0
Feature0183,Asparagine,Carbohydrate,Aromatic amines,7.43,0,-0.153469783,0
Feature0184,Azobenzene,Unsaturated HC,Aromatic amines,5.43,0.453614503,0,-0.1162285
Feature0184,Azobenzene,Unsaturated HC,Aromatic amines,6.43,0.453614503,0,-0.1162285
Feature0185,Beauvericin,Phenol,Other,41.18,-0.090300784,0,0
Feature0187,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",Carbohydrate,Lipids,59.26,-0.121086142,-0.198870401,0
Feature0187,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",Carbohydrate,Lipids,60.26,-0.121086142,-0.198870401,0
Feature0189,Bis(triaminomethyl) carbonate,Other,Nitrated lipids,2.92,-0.140025998,0,0
Feature0190,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Carbohydrate,Carbohydrates,66.41,0,-0.222503113,-0.2124118
Feature0190,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Carbohydrate,Carbohydrates,67.41,0,-0.222503113,-0.2124118
