FeatureID,H_to_C,O_to_C,Class,Fungi,GFE,Name,Comment,log2FC,pval,pval.adj
Feature0126,2.083333333,1,Carbohydrate,1246,55.55,"[Similar to: 3,5-Di(acetyloxy)-2-[(acetyloxy)methyl]-6-(2H-1,2,3,4-tetraazol-5-yl)tetrahydro-2H-pyran-4-yl acetate; ΔMass: -24.9853 Da]",Downregulated,-0.182897898,0.003655724,0.015162947
Feature0119,0.888888889,0.277777778,Phenol,1246,41.3,"[Similar to: 1-(3,4-dimethoxyphenethyl)-6-oxo-2-(3,4,5-trimethoxyphenyl)piperidine-3-carboxylic acid; ΔMass: -77.0864 Da]",Upregulated,0.472983054,0.001186929,0.007469464
Feature0118,1.6875,0.875,Carbohydrate,1246,53.175,[Similar to: (3S)-N-Phenyl-3-[5-(trifluoromethyl)-1H-benzimidazol-2-yl]-1-pyrrolidinecarboxamide; ΔMass: 83.0079 Da],Downregulated,-0.126352977,0.001900377,0.0103528
Feature0118,1.6875,0.875,Carbohydrate,1246,53.175,"[Similar to: 2-(4-chlorophenyl)-2-oxoethyl 2,6-bis(trifluoromethyl)benzoate; ΔMass: -184.0702 Da]",Downregulated,-0.126352977,0.001900377,0.0103528
Feature0112,1,0.266666667,Phenol,1246,56.5,"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 200.0452 Da]",Upregulated,0.491641793,4.34E-04,0.005434001
Feature0111,0.965517241,0.275862069,Phenol,1246,54.40344828,"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 186.0293 Da]",Upregulated,0.669717381,0.011874029,0.033039022
Feature0110,1.066666667,0.333333333,Phenol,1246,71.7,"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 150.0318 Da]",Upregulated,0.646987904,1.38E-05,0.001131044
Feature0107,1.3,0.5,Phenol,1246,26.1,8-hydroxy-deoxyguanosine,Downregulated,-0.027922396,0.006800109,0.023415469
Feature0105,1.142857143,0.571428571,Phenol,1246,60.3,"6-Methoxy-1,2,4-benzenetriol",Upregulated,0.449192317,1.48E-05,0.001131044
Feature0103,0.75,0.375,Condensed HC,1246,60.3,6-Hydroxy-3-coumaranone,Upregulated,0.413107907,0.001177654,0.007469464
Feature0102,1,0,Unsaturated HC,1246,86.128125,"6-chloro-2-(3-ethyl-5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)-4-phenylquinoline",Downregulated,-0.059158024,0.012824603,0.034167739
Feature0101,2.166666667,0.333333333,Protein,1246,88.8,6-Aminocaproic acid,Upregulated,0.135689334,0.011677938,0.032788057
Feature0098,1.875,0.5,Protein,1246,74.55,5-Methylhexan-3-one,Upregulated,0.085129835,0.012750828,0.034167739
Feature0097,1.333333333,0.666666667,Other,1246,60.3,"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one",Downregulated,-0.103804845,0.016779925,0.040831152
Feature0096,1.8,0.6,Amino Sugar,1246,60.3,5-Aminolevulinic acid,Upregulated,0.396564925,5.13E-06,0.001131044
Feature0095,2.3,0.4,Protein,1246,83.1,"5-Amino-6,6-bis(ethylsulfanyl)-1,2,3,4-hexanetetrol",Upregulated,0.087781276,0.007841552,0.025555059
Feature0091,1,0.2,Phenol,1246,77.4,4-Methoxycinnamaldehyde,Downregulated,-0.121936014,0.02159971,0.048850308
Feature0090,1.090909091,0.272727273,Phenol,1246,75.84545455,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Upregulated,0.605165161,1.55E-05,0.001131044
Feature0089,1.137931034,0.344827586,Phenol,1246,70.12758621,"4-Hydroxy-N-(2-hydroxy-8-methyl-4-oxo-7-{[(2R,3R,4R,5R)-3,4,5-trihydroxy-6,6-dimethyltetrahydro-2H-pyran-2-yl]oxy}-4H-chromen-3-yl)-3-(3-methyl-2-buten-1-yl)benzamide",Upregulated,0.459426858,9.50E-04,0.007140369
Feature0087,2.2,0.4,Protein,1246,48.9,4-Guanidinobutyric acid,Upregulated,0.084639883,0.001186881,0.007469464
Feature0083,1.181818182,0.318181818,Phenol,1246,75.84545455,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",Upregulated,0.5497492,0.002987305,0.01362958
Feature0082,1.181818182,0.318181818,Phenol,1246,75.84545455,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",Upregulated,0.476656196,3.05E-04,0.005100954
Feature0077,1.6,0.6,Amino Sugar,1246,71.7,3-oxovaleric acid,Upregulated,0.100324863,0.01218804,0.033107701
Feature0073,1.034482759,0.344827586,Phenol,1246,70.12758621,"3-Methoxy-4-(methoxycarbonyl)-5-methylphenyl 4-[(2,4-dimethoxy-6-methylbenzoyl)oxy]-2-methoxy-6-methylbenzoate",Upregulated,0.520998782,5.65E-04,0.005768213
Feature0071,1.888888889,0.666666667,Amino Sugar,1246,66.63333333,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",Upregulated,0.408091973,0.005561815,0.021127964
Feature0069,1.1,0.5,Phenol,1246,54.6,3-Carboxytyrosine,Upregulated,0.389354562,0.003459847,0.014515903
Feature0062,1.916666667,0.333333333,Protein,1246,88.8,2050867,Upregulated,0.250339789,0.019602599,0.045572921
Feature0061,2.111111111,1.222222222,Carbohydrate,1246,66.63333333,2-O-(beta-D-glucosyl)-sn-glycerol 3-phosphate,Upregulated,0.073496354,9.55E-04,0.007140369
Feature0056,2.125,0.75,Carbohydrate,1246,67.425,2-Acetamido-2-deoxyhexitol,Upregulated,0.133200992,0.008719041,0.027249861
Feature0055,1.615384615,0.230769231,Lipid,1246,73.45384615,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",Upregulated,0.249103941,0.007819392,0.025555059
Feature0052,1.8,0.5,Protein,1246,66,"2,4-Diacetamido-2,4,6-trideoxy-alpha-D-mannopyranose",Upregulated,0.108522814,0.017730248,0.042521843
Feature0051,0.947368421,0.315789474,Phenol,1246,69.3,"2,3,9-Trimethoxy-6a,12a-dihydrochromeno[3,4-b]chromen-12(6H)-one",Upregulated,0.437247726,6.08E-04,0.006001074
Feature0046,1.666666667,0.222222222,Lipid,1246,66.63333333,"1-Methyl-5-(1-piperidinyl)-2,4-imidazolidinedione",Upregulated,0.064487659,0.005614829,0.021127964
Feature0044,2.5,0.833333333,Carbohydrate,1246,69.8,1-Amino-1-deoxyhexitol,Upregulated,0.244623325,0.008266142,0.02670037
Feature0042,1.9,0.7,Amino Sugar,1246,66,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,Upregulated,0.075085318,5.24E-04,0.005768213
Feature0041,2.142857143,0.285714286,Lipid,1246,92.87142857,1-(Dimethylamino)-2-propanyl acetate,Upregulated,0.506227996,1.44E-04,0.004783255
Feature0040,1.3,0.3,Phenol,1246,71.7,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",Downregulated,-0.123506958,0.001274335,0.007677298
Feature0039,1.142857143,0.333333333,Phenol,1246,73.87142857,"1-(3,4-Dimethoxyphenyl)-4-(4-hydroxy-3-methoxyphenyl)dihydro-1H,3H-furo[3,4-c]furan-3a(4H)-ol",Upregulated,0.408077323,0.001124762,0.00746433
Feature0038,1.333333333,0.5,Phenol,1246,69.8,"1-(2-Furyl)-1,2-ethanediol",Upregulated,0.069774885,0.021681506,0.048850308
Feature0037,1.444444444,1,Other,1246,41.3,"1,4-Anhydro-1-(2,4-dioxo-1,2,3,4-tetrahydro-5-pyrimidinyl)-5-O-phosphonopentitol",Downregulated,-0.154921457,0.00904784,0.027249861
Feature0036,2.333333333,0.833333333,Carbohydrate,1246,69.8,"1,2-Dideoxy-5-O-(methylsulfonyl)pentitol",Upregulated,0.13277139,0.013415608,0.034976406
Feature0032,1.642857143,0.785714286,Carbohydrate,1246,56.22857143,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",Downregulated,-0.320813885,3.23E-04,0.005123242
Feature0030,1.4,0.466666667,Phenol,1246,67.9,"(2S)-3-Phenyl-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",Downregulated,-0.119208894,0.002126278,0.010930866
Feature0029,1.9,0.8,Carbohydrate,1246,60.3,"(2S)-3-Hydroxy-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)butanoic acid (non-preferred name)",Downregulated,-0.055127705,0.016900484,0.040852162
Feature0026,1,0.3,Phenol,1246,71.7,(+)-Piperitol,Upregulated,0.446191099,8.10E-04,0.007041725
Feature0365,1.8,0.2,Lipid,1154,83.1,δ-Valerolactam,Upregulated,0.138568561,0.001963284,0.010889377
Feature0358,1.636363636,0.272727273,Lipid,1154,60.3,val-his,Upregulated,0.077048757,0.001998872,0.010889377
Feature0354,1,0.285714286,Phenol,1154,60.3,Trigonelline,Downregulated,-0.341479535,0.009406355,0.026913727
Feature0352,1.818181818,0.727272727,Carbohydrate,1154,55.11818182,Tn Antigen,Upregulated,0.159002025,5.42E-05,0.001411783
