"","10_CTRL_1154.3","14_CTRL_1177.3","19_CTRL_1246.2","2_CTRL_CTRL.2","40_CTRL_CTRL.3","41_CTRL_CTRL.1","46_CTRL_1154.2","47_CTRL_1177.1","57_CTRL_1246.3","59_CTRL_1154.1","60_CTRL_1246.1"
"Feature0102",25076876.64,184067367.7,447962.3077,435503.4472,376964.5655,392402.5412,23826371.56,226259651.3,314496.5526,49682304.11,307666.8954
"Feature0103",178403.9069,185719.9401,44319122.04,189421.5344,189251.8115,184577.2713,175797.9352,195365.0457,47024548.02,186587.5914,54049792.59
"Feature0104",82838322.2,83794283.83,76989987.32,64283804.63,65559093.41,77322229.34,79398641.8,87114923.35,71123332.52,90170693.07,64478377.71
"Feature0105",160931.6201,262521.2555,128701310.8,246255.4564,396519.3444,243973.1106,427215.0057,379012.9294,131159956.7,284195.667,133846018
"Feature0106",1174946.146,1203308.161,121978707.6,4859941.624,91309640.91,101302286,826212.4224,2152290.745,3931552.742,200044.6122,1571157.356
"Feature0107",195259159.8,212496265.4,152802943.8,203186626.1,210154908.8,245039293.2,153444388,344304175,113791172.7,225736686.2,90653413.4
"Feature0108",1571218.124,6828001.56,6176703.47,1055918.713,141655.4574,716358.2729,1972754.58,4444650.198,6262124.011,2208726.235,821783.1154
"Feature0109",172484.5988,18337401.22,64581.44996,193161.3567,194453.3058,84095.98648,115950.392,3669339.03,89866.13066,258113.863,148789.8421
"Feature0110",772894.9175,804589.9907,2094929469,818134.2292,1436495.452,802705.1457,761605.1296,846375.2475,1831489590,903763.7343,2084580628
"Feature0111",516549.6229,1754295.885,2745083053,246336.4683,6332376.382,360755.3955,425685.4475,263192.117,2504735958,491034.1316,2799526914
